Data                     Bins

1.722711621229751241e-05 1.000000000000000000e+02
2.252776735454290033e-05 1.064785977823349015e+02
2.142346503324177756e-05 1.133769178569225602e+02
2.142346503324177756e-05 1.207221523428809320e+02
1.833141853359863518e-05 1.285432550273537800e+02
1.888356969424919487e-05 1.368710554968970428e+02
1.722711621229751241e-05 1.457383806629773915e+02
1.888356969424919487e-05 1.551801841606198309e+02
1.601238365886627839e-05 1.652336841302729908e+02
1.590195342673616374e-05 1.759385099260072991e+02
1.446636040904470550e-05 1.873368583283466648e+02
1.656453481951683808e-05 1.994736598775028256e+02
1.269947669496291010e-05 2.123967559826689921e+02
1.347248831987369569e-05 2.261570875055134877e+02
1.280990692709302136e-05 2.408088955612388702e+02
1.303076739135324557e-05 2.564099353287347753e+02
1.446636040904470550e-05 2.730217037126285504e+02
1.159517437366178733e-05 2.907096817546478746e+02
1.269947669496291010e-05 3.095435927498373303e+02
1.236818599857257293e-05 3.295976770850880939e+02
1.347248831987369569e-05 3.509509848833503156e+02
1.269947669496291010e-05 3.736876876070851949e+02
1.479765110543504267e-05 3.978974098492568032e+02
1.623324412312650091e-05 4.236755826197187957e+02
1.424549994478448129e-05 4.511238195196144147e+02
1.015958135597032808e-04 4.803503172865966349e+02
1.027001158810044035e-05 5.114702822897647820e+02
9.386569731059541804e-06 5.446063846554920929e+02
1.115345344514133721e-05 5.798892418142371525e+02
1.137431390940156312e-05 6.174579333744130736e+02
1.148474414153167438e-05 6.574605493528587203e+02
1.501851156969526689e-05 7.000547739229598392e+02
1.479765110543504267e-05 7.454085069814631197e+02
1.435593017691459255e-05 7.937005259840999543e+02
1.468722087330492972e-05 8.451211906588863485e+02
1.534980226608560405e-05 8.998731933749553491e+02
1.777926737294807210e-05 9.581723581247714492e+02
1.910443015850942078e-05 1.020248491269190026e+03
2.098174410472132914e-05 1.086346287398860113e+03
2.274862781880312624e-05 1.156726293882761411e+03
2.263819758667301159e-05 1.231665937905934697e+03
2.484680222927525712e-05 1.311460620044882944e+03
3.003702313939053377e-05 1.396424878691306276e+03
3.224562778199277930e-05 1.486893629914174198e+03
3.279777894264334238e-05 1.583223487647474485e+03
3.611068590654670728e-05 1.685794169407607342e+03
4.185305797731254701e-05 1.795009993081581797e+03
4.229477890583299205e-05 1.911301470686054927e+03
4.494510447695568940e-05 2.035127005379656111e+03
4.991446492281073676e-05 2.166974698417883701e+03
4.836844167298916556e-05 2.307364273173340735e+03
5.046661608346129983e-05 2.456849123805539421e+03
5.941146488600039321e-05 2.616018496655719446e+03
5.411081374375500529e-05 2.785499812965527781e+03
6.261394161777365363e-05 2.965961142075258522e+03
6.349738347481454371e-05 3.158113834850657895e+03
7.034405786688150959e-05 3.362715327718908156e+03
7.277352297374397086e-05 3.580572128366741254e+03
7.420911599143543080e-05 3.812542994870010716e+03
7.586556947338711325e-05 4.059542320786224082e+03
8.050363922285184038e-05 4.322543739553627347e+03
8.182880200841317550e-05 4.602583962404809427e+03
7.133792995605251093e-05 4.900766864923264620e+03
8.922762756113069768e-05 5.218267838351592218e+03
8.348525549036487151e-05 5.556338422803334652e+03
7.442997645569566687e-05 5.916311240642093253e+03
8.679816245426823641e-05 6.299605249474369884e+03
8.723988338278868145e-05 6.707731335462662173e+03
8.690859268639834767e-05 7.142298269006937517e+03
6.857717415279971588e-05 7.605019046270565013e+03
8.293310432971430165e-05 8.097717641548397296e+03
8.006191829433138179e-05 8.622336197093494775e+03
7.045448809901162085e-05 9.180942678743853321e+03
5.411081374375500529e-05 9.775739027526402424e+03
6.272437184990376489e-05 1.040906983937058612e+04
5.985318581452084502e-05 1.108343160714572878e+04
4.229477890583299205e-05 1.180148256145286541e+04
4.947274399429029172e-05 1.256605314896180425e+04
4.273649983435344387e-05 1.338015718959748301e+04
3.898187194192962715e-05 1.424700375655565585e+04
2.528852315779570555e-05 1.517000982597705661e+04
2.672411617548716548e-05 1.615281374614281049e+04
2.009830224768042889e-05 1.719928957928509044e+04
1.336205808774358274e-05 1.831356237254599182e+04
8.613558106148756207e-06 1.950002441828029623e+04
4.085918588814153043e-06 2.076335256779778865e+04
4.417209285204490105e-07 2.210852666679349204e+04
0.000000000000000000e+00 2.354084918513532102e+04
0.000000000000000000e+00 2.506596611838632816e+04
0.000000000000000000e+00 2.668988924345289706e+04
0.000000000000000000e+00 2.841901981608684946e+04
0.000000000000000000e+00 3.026017380365326244e+04
0.000000000000000000e+00 3.222060875262739864e+04
0.000000000000000000e+00 3.430805239672988682e+04
0.000000000000000000e+00 3.653073311846677097e+04
0.000000000000000000e+00 3.889741238415047701e+04
0.000000000000000000e+00 4.141741928025567177e+04
0.000000000000000000e+00 4.410068728724671382e+04
0.000000000000000000e+00 4.695779343583277659e+04
