Data                     Bins

1.348422412748975134e-03 1.000000000000000000e+02
1.298710987394174031e-03 1.064785977823349015e+02
1.223014044240272819e-03 1.133769178569225602e+02
1.201547746927972239e-03 1.207221523428809320e+02
1.156355542059971531e-03 1.285432550273537800e+02
1.063711522080569702e-03 1.368710554968970428e+02
1.012870291604068716e-03 1.457383806629773915e+02
1.006656363434718605e-03 1.551801841606198309e+02
9.479064971063175769e-04 1.652336841302729908e+02
9.044089999208668011e-04 1.759385099260072991e+02
8.885917282170664993e-04 1.873368583283466648e+02
8.739042616349661880e-04 1.994736598775028256e+02
8.411399131056655938e-04 2.123967559826689921e+02
7.976424159202148180e-04 2.261570875055134877e+02
7.524502110522140021e-04 2.408088955612388702e+02
7.264646932531134598e-04 2.564099353287347753e+02
7.434117700786138606e-04 2.730217037126285504e+02
7.507555033696639620e-04 2.907096817546478746e+02
7.309839137399135305e-04 3.095435927498373303e+02
7.648780673909142238e-04 3.295976770850880939e+02
7.496256982479639714e-04 3.509509848833503156e+02
7.428468675177638111e-04 3.736876876070851949e+02
7.823900467772645657e-04 3.978974098492568032e+02
7.801304365338644761e-04 4.236755826197187957e+02
7.671376776343142049e-04 4.511238195196144147e+02
8.925460461430166290e-04 4.803503172865966349e+02
6.518975552209121298e-04 5.114702822897647820e+02
6.078351554746113045e-04 5.446063846554920929e+02
6.643254115596123515e-04 5.798892418142371525e+02
6.027510324269611842e-04 6.174579333744130736e+02
6.044457401095112243e-04 6.574605493528587203e+02
5.451309712202601467e-04 7.000547739229598392e+02
4.948546433046092105e-04 7.454085069814631197e+02
4.909003253786590809e-04 7.937005259840999543e+02
4.372345820979081188e-04 8.451211906588863485e+02
4.434485102672582296e-04 8.998731933749553491e+02
4.140735771030577155e-04 9.581723581247714492e+02
3.959966951558573783e-04 1.020248491269190026e+03
3.632323466265567299e-04 1.086346287398860113e+03
3.287732904147060956e-04 1.156726293882761411e+03
3.005281623722055721e-04 1.231665937905934697e+03
2.609849831127048717e-04 1.311460620044882944e+03
2.666340087212049331e-04 1.396424878691306276e+03
2.349994653136043565e-04 1.486893629914174198e+03
2.208769012923540948e-04 1.583223487647474485e+03
2.270908294617042056e-04 1.685794169407607342e+03
1.886774553239034958e-04 1.795009993081581797e+03
1.621270349639530124e-04 1.911301470686054927e+03
1.395309325299526045e-04 2.035127005379656111e+03
1.158050249742521517e-04 2.166974698417883701e+03
9.942285070960184105e-05 2.307364273173340735e+03
8.981950717515166361e-05 2.456849123805539421e+03
7.230752778880134880e-05 2.616018496655719446e+03
5.818496376755108028e-05 2.785499812965527781e+03
5.253593815905097830e-05 2.965961142075258522e+03
3.728356901610069209e-05 3.158113834850657895e+03
3.050473828590056564e-05 3.362715327718908156e+03
2.485571267740046026e-05 3.580572128366741254e+03
1.468746658210027228e-05 3.812542994870010716e+03
9.038440973600168600e-06 4.059542320786224082e+03
3.954317925950073763e-06 4.322543739553627347e+03
1.694707682550031401e-06 4.602583962404809427e+03
5.649025608500105375e-07 4.900766864923264620e+03
0.000000000000000000e+00 5.218267838351592218e+03
0.000000000000000000e+00 5.556338422803334652e+03
0.000000000000000000e+00 5.916311240642093253e+03
0.000000000000000000e+00 6.299605249474369884e+03
0.000000000000000000e+00 6.707731335462662173e+03
0.000000000000000000e+00 7.142298269006937517e+03
0.000000000000000000e+00 7.605019046270565013e+03
0.000000000000000000e+00 8.097717641548397296e+03
0.000000000000000000e+00 8.622336197093494775e+03
0.000000000000000000e+00 9.180942678743853321e+03
0.000000000000000000e+00 9.775739027526402424e+03
0.000000000000000000e+00 1.040906983937058612e+04
0.000000000000000000e+00 1.108343160714572878e+04
0.000000000000000000e+00 1.180148256145286541e+04
0.000000000000000000e+00 1.256605314896180425e+04
0.000000000000000000e+00 1.338015718959748301e+04
0.000000000000000000e+00 1.424700375655565585e+04
0.000000000000000000e+00 1.517000982597705661e+04
0.000000000000000000e+00 1.615281374614281049e+04
0.000000000000000000e+00 1.719928957928509044e+04
0.000000000000000000e+00 1.831356237254599182e+04
0.000000000000000000e+00 1.950002441828029623e+04
0.000000000000000000e+00 2.076335256779778865e+04
0.000000000000000000e+00 2.210852666679349204e+04
0.000000000000000000e+00 2.354084918513532102e+04
0.000000000000000000e+00 2.506596611838632816e+04
0.000000000000000000e+00 2.668988924345289706e+04
0.000000000000000000e+00 2.841901981608684946e+04
0.000000000000000000e+00 3.026017380365326244e+04
0.000000000000000000e+00 3.222060875262739864e+04
0.000000000000000000e+00 3.430805239672988682e+04
0.000000000000000000e+00 3.653073311846677097e+04
0.000000000000000000e+00 3.889741238415047701e+04
0.000000000000000000e+00 4.141741928025567177e+04
0.000000000000000000e+00 4.410068728724671382e+04
0.000000000000000000e+00 4.695779343583277659e+04
