Data                     Bins

3.911055108253376402e-04 1.000000000000000000e+02
3.754884504972425853e-04 1.064785977823349015e+02
3.191312327915081341e-04 1.133769178569225602e+02
3.564763770543442293e-04 1.207221523428809320e+02
3.367853009884852022e-04 1.285432550273537800e+02
3.408593167262491202e-04 1.368710554968970428e+02
3.035141724634130792e-04 1.457383806629773915e+02
2.946871383649245181e-04 1.551801841606198309e+02
2.912921252501212712e-04 1.652336841302729908e+02
3.014771645945311202e-04 1.759385099260072991e+02
2.858601042664360111e-04 1.873368583283466648e+02
2.709220465613015731e-04 1.994736598775028256e+02
2.763540675449868331e-04 2.123967559826689921e+02
2.688850386924196141e-04 2.261570875055134877e+02
2.525889757413638881e-04 2.408088955612388702e+02
2.634530177087344082e-04 2.564099353287347753e+02
2.471569547576786281e-04 2.730217037126285504e+02
2.505519678724819291e-04 2.907096817546478746e+02
2.709220465613015731e-04 3.095435927498373303e+02
2.899341200041999291e-04 3.295976770850880939e+02
2.736380570531442031e-04 3.509509848833503156e+02
2.933291331190032302e-04 3.736876876070851949e+02
2.661690282005769841e-04 3.978974098492568032e+02
2.845020990205147232e-04 4.236755826197187957e+02
2.960451436108458602e-04 4.511238195196144147e+02
3.924635160712589281e-04 4.803503172865966349e+02
3.211682406603900931e-04 5.114702822897647820e+02
3.238842511522327231e-04 5.446063846554920929e+02
3.096251960700589561e-04 5.798892418142371525e+02
2.946871383649245181e-04 6.174579333744130736e+02
3.211682406603900931e-04 6.574605493528587203e+02
3.123412065619015862e-04 7.000547739229598392e+02
3.021561672174917371e-04 7.454085069814631197e+02
3.143782144307835451e-04 7.937005259840999543e+02
3.082671908241376682e-04 8.451211906588863485e+02
3.354272957425638601e-04 8.998731933749553491e+02
3.177732275455868462e-04 9.581723581247714492e+02
3.211682406603900931e-04 1.020248491269190026e+03
3.014771645945311202e-04 1.086346287398860113e+03
3.374643036114458191e-04 1.156726293882761411e+03
3.218472432833507642e-04 1.231665937905934697e+03
3.075881882011769972e-04 1.311460620044882944e+03
2.817860885286720932e-04 1.396424878691306276e+03
2.641320203316950251e-04 1.486893629914174198e+03
2.627740150857737372e-04 1.583223487647474485e+03
2.464779521347180112e-04 1.685794169407607342e+03
2.308608918066229021e-04 1.795009993081581797e+03
2.043797895111573542e-04 1.911301470686054927e+03
1.772196845927311081e-04 2.035127005379656111e+03
1.914787396749048751e-04 2.166974698417883701e+03
1.439485560676589850e-04 2.307364273173340735e+03
1.269734904936426151e-04 2.456849123805539421e+03
1.358005245921311221e-04 2.616018496655719446e+03
1.174674537721934236e-04 2.785499812965527781e+03
1.120354327885081771e-04 2.965961142075258522e+03
1.059244091818622730e-04 3.158113834850657895e+03
9.302335934560982105e-05 3.362715327718908156e+03
7.944330688639671156e-05 3.580572128366741254e+03
6.654225705014424602e-05 3.812542994870010716e+03
7.265328065679015003e-05 4.059542320786224082e+03
6.314724393534097203e-05 4.322543739553627347e+03
5.228320196797048579e-05 4.602583962404809427e+03
5.432020983685245154e-05 4.900766864923264620e+03
3.802414688579671201e-05 5.218267838351592218e+03
4.413517049244261603e-05 5.556338422803334652e+03
2.240708655770163677e-05 5.916311240642093253e+03
2.783910754138687989e-05 6.299605249474369884e+03
2.308608918066229089e-05 6.707731335462662173e+03
2.240708655770163677e-05 7.142298269006937517e+03
1.765406819697704777e-05 7.605019046270565013e+03
1.222204721329180126e-05 8.097717641548397296e+03
1.561706032809507863e-05 8.622336197093494775e+03
1.425905508217376870e-05 9.180942678743853321e+03
3.395013114803278221e-06 9.775739027526402424e+03
7.469028852567212255e-06 1.040906983937058612e+04
6.790026229606556442e-06 1.108343160714572878e+04
4.074015737763934035e-06 1.180148256145286541e+04
3.395013114803278221e-06 1.256605314896180425e+04
4.753018360724589001e-06 1.338015718959748301e+04
2.716010491842622407e-06 1.424700375655565585e+04
2.037007868881967017e-06 1.517000982597705661e+04
3.395013114803278221e-06 1.615281374614281049e+04
6.790026229606556018e-07 1.719928957928509044e+04
0.000000000000000000e+00 1.831356237254599182e+04
6.790026229606556018e-07 1.950002441828029623e+04
0.000000000000000000e+00 2.076335256779778865e+04
0.000000000000000000e+00 2.210852666679349204e+04
6.790026229606556018e-07 2.354084918513532102e+04
0.000000000000000000e+00 2.506596611838632816e+04
0.000000000000000000e+00 2.668988924345289706e+04
1.358005245921311204e-06 2.841901981608684946e+04
6.790026229606556018e-07 3.026017380365326244e+04
0.000000000000000000e+00 3.222060875262739864e+04
0.000000000000000000e+00 3.430805239672988682e+04
0.000000000000000000e+00 3.653073311846677097e+04
0.000000000000000000e+00 3.889741238415047701e+04
0.000000000000000000e+00 4.141741928025567177e+04
0.000000000000000000e+00 4.410068728724671382e+04
0.000000000000000000e+00 4.695779343583277659e+04
