Data                     Bins

6.374660239143431061e-06 1.000000000000000000e+02
8.431002251770345181e-06 1.064785977823349015e+02
5.860574735986702531e-06 1.133769178569225602e+02
6.683111541037468349e-06 1.207221523428809320e+02
5.038037930935937561e-06 1.285432550273537800e+02
7.402831245456888121e-06 1.368710554968970428e+02
4.729586629041900274e-06 1.457383806629773915e+02
6.169026037880739819e-06 1.551801841606198309e+02
5.654940534724011289e-06 1.652336841302729908e+02
5.038037930935937561e-06 1.759385099260072991e+02
5.038037930935937561e-06 1.873368583283466648e+02
5.346489232829974848e-06 1.994736598775028256e+02
4.318318226516517788e-06 2.123967559826689921e+02
4.318318226516517788e-06 2.261570875055134877e+02
5.140855031567282759e-06 2.408088955612388702e+02
5.140855031567282759e-06 2.564099353287347753e+02
4.421135327147863833e-06 2.730217037126285504e+02
4.318318226516517788e-06 2.907096817546478746e+02
5.140855031567282759e-06 3.095435927498373303e+02
5.449306333461320046e-06 3.295976770850880939e+02
5.552123434092666091e-06 3.509509848833503156e+02
5.552123434092666091e-06 3.736876876070851949e+02
3.495781421465752394e-06 3.978974098492568032e+02
5.963391836618048576e-06 4.236755826197187957e+02
4.832403729673246318e-06 4.511238195196144147e+02
1.182396657260475111e-05 4.803503172865966349e+02
3.598598522097098016e-06 5.114702822897647820e+02
4.421135327147863833e-06 5.446063846554920929e+02
5.346489232829974848e-06 5.798892418142371525e+02
3.907049823991135303e-06 6.174579333744130736e+02
5.654940534724011289e-06 6.574605493528587203e+02
5.757757635355357333e-06 7.000547739229598392e+02
4.112684025253826546e-06 7.454085069814631197e+02
5.346489232829974848e-06 7.937005259840999543e+02
5.346489232829974848e-06 8.451211906588863485e+02
4.935220830304591516e-06 8.998731933749553491e+02
8.122550949876307047e-06 9.581723581247714492e+02
7.300014144825542076e-06 1.020248491269190026e+03
7.814099647982270606e-06 1.086346287398860113e+03
6.271843138512085863e-06 1.156726293882761411e+03
7.505648346088233319e-06 1.231665937905934697e+03
7.608465446719579364e-06 1.311460620044882944e+03
8.122550949876307047e-06 1.396424878691306276e+03
8.842270654295727666e-06 1.486893629914174198e+03
1.059016136502860365e-05 1.583223487647474485e+03
1.110424686818533218e-05 1.685794169407607342e+03
1.038452716376591156e-05 1.795009993081581797e+03
1.460002828965108415e-05 1.911301470686054927e+03
1.480566249091377624e-05 2.035127005379656111e+03
1.819862681174818386e-05 2.166974698417883701e+03
1.912398071743029318e-05 2.307364273173340735e+03
2.148877403195124374e-05 2.456849123805539421e+03
2.354511604457815786e-05 2.616018496655719446e+03
2.590990935909910842e-05 2.785499812965527781e+03
2.981695918309024119e-05 2.965961142075258522e+03
2.981695918309024119e-05 3.158113834850657895e+03
3.680852202602174513e-05 3.362715327718908156e+03
3.793951013296654654e-05 3.580572128366741254e+03
4.122965735316961320e-05 3.812542994870010716e+03
5.274517262388032278e-05 4.059542320786224082e+03
4.760431759231304426e-05 4.322543739553627347e+03
5.397897783145647532e-05 4.602583962404809427e+03
5.798884475607895243e-05 4.900766864923264620e+03
5.798884475607895243e-05 5.218267838351592218e+03
5.850293025923568096e-05 5.556338422803334652e+03
6.158744327817605214e-05 5.916311240642093253e+03
6.703674961163737049e-05 6.299605249474369884e+03
6.641984700784930439e-05 6.707731335462662173e+03
6.909309162426428461e-05 7.142298269006937517e+03
7.176633624067927839e-05 7.605019046270565013e+03
6.775646931605679450e-05 8.097717641548397296e+03
7.217760464320465579e-05 8.622336197093494775e+03
6.446632209585373462e-05 9.180942678743853321e+03
6.199871168070142954e-05 9.775739027526402424e+03
6.210152878133278745e-05 1.040906983937058612e+04
6.261561428448950920e-05 1.108343160714572878e+04
5.891419866176106514e-05 1.180148256145286541e+04
5.264235552324897843e-05 1.256605314896180425e+04
4.894093990052053437e-05 1.338015718959748301e+04
4.421135327147863325e-05 1.424700375655565585e+04
3.680852202602174513e-05 1.517000982597705661e+04
3.156484989382311548e-05 1.615281374614281049e+04
3.218175249761119513e-05 1.719928957928509044e+04
2.652681196288718130e-05 1.831356237254599182e+04
1.953524911995567736e-05 1.950002441828029623e+04
1.470284539028243020e-05 2.076335256779778865e+04
1.490847959154512059e-05 2.210852666679349204e+04
1.028171006313456552e-05 2.354084918513532102e+04
9.561990358715146592e-06 2.506596611838632816e+04
5.140855031567282759e-06 2.668988924345289706e+04
3.598598522097098016e-06 2.841901981608684946e+04
2.981695918309024288e-06 3.026017380365326244e+04
2.261976213889604515e-06 3.222060875262739864e+04
1.439439408838839333e-06 3.430805239672988682e+04
4.112684025253826440e-07 3.653073311846677097e+04
3.084513018940369698e-07 3.889741238415047701e+04
2.056342012626913220e-07 4.141741928025567177e+04
2.056342012626913220e-07 4.410068728724671382e+04
1.028171006313456610e-07 4.695779343583277659e+04
