Data                     Bins

5.121246979679305812e-05 1.000000000000000000e+02
5.005628143889858365e-05 1.064785977823349015e+02
4.964074260635923042e-05 1.133769178569225602e+02
4.778696574202564187e-05 1.207221523428809320e+02
4.619586109307961976e-05 1.285432550273537800e+02
4.510211121261334009e-05 1.368710554968970428e+02
4.245385854927963829e-05 1.457383806629773915e+02
4.165292359744213142e-05 1.551801841606198309e+02
4.012210437497850171e-05 1.652336841302729908e+02
3.919413941733880286e-05 1.759385099260072991e+02
3.757289205515158793e-05 1.873368583283466648e+02
3.694420117897805549e-05 1.994736598775028256e+02
3.523898482990464896e-05 2.123967559826689921e+02
3.444666208185033810e-05 2.261570875055134877e+02
3.402251104552778208e-05 2.408088955612388702e+02
3.330985118246806482e-05 2.564099353287347753e+02
3.334645304854665803e-05 2.730217037126285504e+02
3.290507760465770999e-05 2.907096817546478746e+02
3.304071981424309799e-05 3.095435927498373303e+02
3.352085017515644164e-05 3.295976770850880939e+02
3.400098053606978528e-05 3.509509848833503156e+02
3.427226495524055450e-05 3.736876876070851949e+02
3.541984110935182618e-05 3.978974098492568032e+02
3.629828589523813103e-05 4.236755826197187957e+02
3.752337188339819392e-05 4.511238195196144147e+02
1.178493965692955798e-04 4.803503172865966349e+02
2.858175130549179448e-05 5.114702822897647820e+02
2.899083098519374731e-05 5.446063846554920929e+02
2.955923643488488395e-05 5.798892418142371525e+02
3.049150749441618082e-05 6.174579333744130736e+02
3.096948480438372546e-05 6.574605493528587203e+02
3.172089958446784510e-05 7.000547739229598392e+02
3.218595858876059233e-05 7.454085069814631197e+02
3.373184916784481845e-05 7.937005259840999543e+02
3.497631261451707575e-05 8.451211906588863485e+02
3.515716889396425975e-05 8.998731933749553491e+02
3.583968604378278420e-05 9.581723581247714492e+02
3.658464167102949666e-05 1.020248491269190026e+03
3.769561595906217513e-05 1.086346287398860113e+03
3.854391803170728039e-05 1.156726293882761411e+03
3.935992434016538367e-05 1.231665937905934697e+03
4.083476423803821898e-05 1.311460620044882944e+03
4.100700831370220019e-05 1.396424878691306276e+03
4.278758144587860231e-05 1.486893629914174198e+03
4.336675215029873396e-05 1.583223487647474485e+03
4.433777812685442643e-05 1.685794169407607342e+03
4.528727359395212209e-05 1.795009993081581797e+03
4.765562963433185866e-05 1.911301470686054927e+03
4.841565661819916753e-05 2.035127005379656111e+03
4.980652752918581123e-05 2.166974698417883701e+03
5.120816369490146012e-05 2.307364273173340735e+03
5.164092693500721214e-05 2.456849123805539421e+03
5.397052805836254633e-05 2.616018496655719446e+03
5.744124618299175858e-05 2.785499812965527781e+03
5.886656590911119988e-05 2.965961142075258522e+03
6.092057651140416684e-05 3.158113834850657895e+03
6.280449608897895498e-05 3.362715327718908156e+03
6.578431859796581840e-05 3.580572128366741254e+03
6.443435565494937947e-05 3.812542994870010716e+03
7.010549184618593830e-05 4.059542320786224082e+03
7.269561213398305008e-05 4.322543739553627347e+03
7.448695052088844383e-05 4.602583962404809427e+03
7.043490864089330431e-05 4.900766864923264620e+03
7.821172865712202650e-05 5.218267838351592218e+03
7.941959023771569736e-05 5.556338422803334652e+03
7.082676391302885157e-05 5.916311240642093253e+03
8.093749115450451950e-05 6.299605249474369884e+03
8.140255015879726674e-05 6.707731335462662173e+03
8.005689331767241903e-05 7.142298269006937517e+03
6.687376237654050007e-05 7.605019046270565013e+03
7.854545155372099729e-05 8.097717641548397296e+03
7.573572006945231269e-05 8.622336197093494775e+03
7.350946539149535097e-05 9.180942678743853321e+03
5.465735131007266878e-05 9.775739027526402424e+03
6.472717058357813872e-05 1.040906983937058612e+04
6.084091362640958002e-05 1.108343160714572878e+04
4.208353378660208106e-05 1.180148256145286541e+04
4.921874462098248357e-05 1.256605314896180425e+04
4.470810288953198366e-05 1.338015718959748301e+04
3.821450123699991438e-05 1.424700375655565585e+04
2.287616629912243466e-05 1.517000982597705661e+04
2.678825986764059495e-05 1.615281374614281049e+04
2.076617637223866992e-05 1.719928957928509044e+04
1.455462439360636826e-05 1.831356237254599182e+04
6.429010124158078868e-06 1.950002441828029623e+04
4.794844456296062299e-06 2.076335256779778865e+04
3.746308645691579897e-07 2.210852666679349204e+04
0.000000000000000000e+00 2.354084918513532102e+04
0.000000000000000000e+00 2.506596611838632816e+04
0.000000000000000000e+00 2.668988924345289706e+04
0.000000000000000000e+00 2.841901981608684946e+04
0.000000000000000000e+00 3.026017380365326244e+04
0.000000000000000000e+00 3.222060875262739864e+04
0.000000000000000000e+00 3.430805239672988682e+04
0.000000000000000000e+00 3.653073311846677097e+04
0.000000000000000000e+00 3.889741238415047701e+04
0.000000000000000000e+00 4.141741928025567177e+04
0.000000000000000000e+00 4.410068728724671382e+04
0.000000000000000000e+00 4.695779343583277659e+04
