Data                     Bins

3.761407080548092696e-05 1.000000000000000000e+02
3.779859632711897086e-05 1.064785977823349015e+02
3.732271471868402267e-05 1.133769178569225602e+02
3.680798563200948271e-05 1.207221523428809320e+02
3.484618798091029552e-05 1.285432550273537800e+02
3.419549272039719797e-05 1.368710554968970428e+02
3.256389863433450683e-05 1.457383806629773915e+02
3.222398319973811623e-05 1.551801841606198309e+02
3.125279624374841718e-05 1.652336841302729908e+02
3.109740633079007048e-05 1.759385099260072991e+02
2.931042233176902586e-05 1.873368583283466648e+02
2.892194754937314896e-05 1.994736598775028256e+02
2.746516711538860378e-05 2.123967559826689921e+02
2.799931994118293622e-05 2.261570875055134877e+02
2.818384546282098012e-05 2.408088955612388702e+02
2.791191311514386493e-05 2.564099353287347753e+02
2.729035346331046120e-05 2.730217037126285504e+02
2.711553981123231524e-05 2.907096817546478746e+02
2.759142141966726682e-05 3.095435927498373303e+02
2.806730302810221502e-05 3.295976770850880939e+02
2.891223567981325102e-05 3.509509848833503156e+02
2.797018433250324579e-05 3.736876876070851949e+02
2.883454072333407767e-05 3.978974098492568032e+02
3.102942324387078830e-05 4.236755826197187957e+02
3.051469415719625173e-05 4.511238195196144147e+02
7.487851430680556876e-05 4.803503172865966349e+02
2.644542081159942520e-05 5.114702822897647820e+02
2.671735315927654039e-05 5.446063846554920929e+02
2.761084515878705931e-05 5.798892418142371525e+02
2.872771015817521050e-05 6.174579333744130736e+02
3.026218554863892903e-05 6.574605493528587203e+02
2.940754102736799848e-05 7.000547739229598392e+02
3.195205085206100104e-05 7.454085069814631197e+02
3.208801702589955863e-05 7.937005259840999543e+02
3.335056006868616197e-05 8.451211906588863485e+02
3.353508559032420587e-05 8.998731933749553491e+02
3.483647611135040097e-05 9.581723581247714492e+02
3.501128976342854354e-05 1.020248491269190026e+03
3.619613784973597015e-05 1.086346287398860113e+03
3.807052867479608605e-05 1.156726293882761411e+03
3.811908802259557236e-05 1.231665937905934697e+03
4.084812336892661882e-05 1.311460620044882944e+03
3.849785093543155472e-05 1.396424878691306276e+03
4.038195363005156517e-05 1.486893629914174198e+03
4.125602189044229160e-05 1.583223487647474485e+03
4.401419284545302849e-05 1.685794169407607342e+03
4.446093884520828626e-05 1.795009993081581797e+03
4.697631306122159839e-05 1.911301470686054927e+03
4.773383888689356310e-05 2.035127005379656111e+03
4.866617836464367039e-05 2.166974698417883701e+03
4.920033119043800622e-05 2.307364273173340735e+03
5.203619710192791307e-05 2.456849123805539421e+03
5.207504458016750482e-05 2.616018496655719446e+03
5.525082592625380905e-05 2.785499812965527781e+03
5.587238557808721617e-05 2.965961142075258522e+03
5.717377609911340449e-05 3.158113834850657895e+03
5.718348796867330581e-05 3.362715327718908156e+03
6.066033727111641566e-05 3.580572128366741254e+03
6.048552361903827308e-05 3.812542994870010716e+03
6.428286461695797765e-05 4.059542320786224082e+03
6.369044057380426774e-05 4.322543739553627347e+03
6.651659461573428004e-05 4.602583962404809427e+03
6.629322161585665793e-05 4.900766864923264620e+03
6.726440857184634342e-05 5.218267838351592218e+03
6.760432400644274080e-05 5.556338422803334652e+03
6.694391687636974870e-05 5.916311240642093253e+03
6.766259522380212166e-05 6.299605249474369884e+03
6.562310261622376450e-05 6.707731335462662173e+03
6.787625635411985599e-05 7.142298269006937517e+03
6.595330618126026055e-05 7.605019046270565013e+03
6.498211922527056151e-05 8.097717641548397296e+03
6.308830466109065650e-05 8.622336197093494775e+03
6.017474379312156614e-05 9.180942678743853321e+03
5.694069122967588105e-05 9.775739027526402424e+03
5.411453718774586198e-05 1.040906983937058612e+04
5.115241697197729209e-05 1.108343160714572878e+04
4.786980506073212069e-05 1.180148256145286541e+04
4.229519193335126606e-05 1.256605314896180425e+04
3.869208832662949317e-05 1.338015718959748301e+04
3.412750963347792256e-05 1.424700375655565585e+04
2.955321907076645063e-05 1.517000982597705661e+04
2.614435285524261958e-05 1.615281374614281049e+04
2.270635103103909471e-05 1.719928957928509044e+04
1.923921359815587942e-05 1.831356237254599182e+04
1.496599099180121649e-05 1.950002441828029623e+04
1.155712477627738375e-05 2.076335256779778865e+04
1.011005621185273651e-05 2.210852666679349204e+04
7.662665082758701485e-06 2.354084918513532102e+04
5.875681083737661102e-06 2.506596611838632816e+04
3.972154649997857307e-06 2.668988924345289706e+04
2.971832085328469950e-06 2.841901981608684946e+04
1.913238303299701310e-06 3.026017380365326244e+04
1.262543042786604821e-06 3.222060875262739864e+04
8.157970430313447253e-07 3.430805239672988682e+04
4.370341301953632154e-07 3.653073311846677097e+04
4.273222606354662822e-07 3.889741238415047701e+04
2.330848694375270606e-07 4.141741928025567177e+04
1.068305651588665705e-07 4.410068728724671382e+04
9.711869559896961079e-08 4.695779343583277659e+04
